Date,Unnamed: 0,Unnamed: 0.1,percent,label_index
2016년11월14일(월),18670.5,18670.5,87.735,-0.5
2016년11월15일(화),18662.0,18662.0,77.69000000000001,-0.2857142857142857
2016년11월16일(수),18653.5,18653.5,84.7,-0.1
2016년11월17일(목),18644.0,18644.0,78.78,-0.4444444444444444
2016년11월18일(금),18634.0,18634.0,82.49,-0.18181818181818182
2016년11월21일(월),18625.0,18625.0,92.65142857142857,-0.42857142857142855
2016년11월22일(화),18618.5,18618.5,85.01833333333333,-0.5
2016년11월23일(수),18610.0,18610.0,80.27363636363636,-0.5454545454545454
2016년11월24일(목),18597.5,18597.5,84.22,-0.5714285714285714
2016년11월25일(금),18586.0,18586.0,86.51444444444445,-0.5555555555555556
2016년11월28일(월),18574.0,18574.0,77.65066666666667,-0.2
2016년11월29일(화),18563.0,18563.0,74.03857142857143,-0.42857142857142855
2016년11월30일(수),18554.0,18554.0,86.67909090909092,-0.2727272727272727
2016년12월01일(목),18543.5,18543.5,85.824,-0.4
2016년12월02일(금),18533.5,18533.5,79.854,-0.4
2016년12월05일(월),18522.5,18522.5,86.93583333333333,-0.5833333333333334
2016년12월06일(화),18511.5,18511.5,83.959,-0.5
2016년12월07일(수),18501.5,18501.5,81.651,-0.5
2016년12월08일(목),18491.0,18491.0,81.50545454545455,0.0
2016년12월09일(금),18480.0,18480.0,76.56272727272727,0.0
2016년12월12일(월),18470.0,18470.0,74.41555555555556,-0.1111111111111111
2016년12월13일(화),18459.5,18459.5,81.78083333333333,0.08333333333333333
2016년12월14일(수),18449.0,18449.0,73.23555555555555,0.0
2016년12월15일(목),18440.5,18440.5,78.575,-0.5
2016년12월16일(금),18430.0,18430.0,88.7776923076923,-0.5384615384615384
2016년12월19일(월),18420.0,18420.0,83.93571428571428,-0.14285714285714285
2016년12월20일(화),18412.0,18412.0,84.31333333333333,-0.2222222222222222
2016년12월21일(수),18402.5,18402.5,79.119,-0.4
2016년12월22일(목),18393.5,18393.5,86.4125,-0.75
2016년12월23일(금),18384.0,18384.0,79.10363636363637,-0.45454545454545453
2016년12월26일(월),18372.0,18372.0,76.3423076923077,-0.07692307692307693
2016년12월27일(화),18360.5,18360.5,87.685,-0.6
2016년12월28일(수),18350.0,18350.0,80.36454545454545,-0.45454545454545453
2016년12월29일(목),18339.5,18339.5,80.349,-0.2
2016년12월30일(금),18327.0,18327.0,75.76466666666667,-0.4
2017년01월02일(월),18313.5,18313.5,77.23583333333333,0.08333333333333333
2017년01월03일(화),18303.0,18303.0,86.83111111111111,0.1111111111111111
2017년01월04일(수),18293.0,18293.0,80.90818181818182,-0.18181818181818182
2017년01월05일(목),18281.0,18281.0,78.92615384615384,-0.07692307692307693
2017년01월06일(금),18270.0,18270.0,76.64222222222222,-0.1111111111111111
2017년01월09일(월),18259.5,18259.5,86.60583333333334,-0.4166666666666667
2017년01월10일(화),18247.5,18247.5,84.2325,-0.4166666666666667
2017년01월11일(수),18237.5,18237.5,84.32875,-0.125
2017년01월12일(목),18227.5,18227.5,84.99166666666666,-0.3333333333333333
2017년01월13일(금),18214.0,18214.0,83.61866666666667,0.26666666666666666
2017년01월16일(월),18200.0,18200.0,89.60692307692307,-0.6923076923076923
2017년01월17일(화),18188.5,18188.5,82.44500000000001,-0.5
2017년01월18일(수),18177.5,18177.5,84.1125,-0.4166666666666667
2017년01월19일(목),18166.0,18166.0,71.26636363636364,0.0
2017년01월20일(금),18155.5,18155.5,79.716,-0.6
2017년01월23일(월),18146.0,18146.0,82.13444444444445,-0.5555555555555556
2017년01월24일(화),18134.5,18134.5,83.17928571428571,-0.21428571428571427
2017년01월25일(수),18121.5,18121.5,76.19166666666666,-0.08333333333333333
2017년01월26일(목),18109.5,18109.5,82.135,0.16666666666666666
2017년01월27일(금),18096.5,18096.5,76.7807142857143,-0.07142857142857142
2017년01월30일(월),18081.0,18081.0,76.39999999999999,-0.17647058823529413
2017년01월31일(화),18067.0,18067.0,80.32363636363637,-0.45454545454545453
2017년02월01일(수),18055.0,18055.0,81.77307692307691,-0.46153846153846156
2017년02월02일(목),18042.5,18042.5,80.25,-0.5833333333333334
2017년02월03일(금),18029.0,18029.0,87.12866666666667,-0.4
2017년02월06일(월),18017.0,18017.0,87.58444444444444,-0.5555555555555556
2017년02월07일(화),18007.5,18007.5,84.321,0.1
2017년02월08일(수),17997.0,17997.0,88.64090909090909,-0.6363636363636364
2017년02월09일(목),17986.5,17986.5,78.536,0.0
2017년02월10일(금),17975.5,17975.5,79.53,-0.08333333333333333
2017년02월13일(월),17964.5,17964.5,79.41499999999999,-0.4
2017년02월14일(화),17955.0,17955.0,79.02555555555556,-0.1111111111111111
2017년02월15일(수),17945.0,17945.0,78.16454545454545,0.0
2017년02월16일(목),17934.0,17934.0,80.0909090909091,-0.5454545454545454
2017년02월17일(금),17924.5,17924.5,93.3225,-0.875
2017년02월20일(월),17915.0,17915.0,70.87727272727273,-0.2727272727272727
2017년02월21일(화),17903.5,17903.5,82.71083333333333,-0.25
2017년02월22일(수),17892.0,17892.0,79.63909090909091,0.0
